Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Chuck,(2007–2012),"Action,Comedy,Drama","When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills.","https://m.media-amazon.com/images/M/MV5BMTM0ODIwNjI3NF5BMl5BanBnXkFtZTcwODU2ODUzMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",0934814,https://www.imdb.com/title/tt0934814/,43 min,16,"142,257",8.2
Person of Interest,(2011–2016),"Action,Crime,Drama","An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.","https://m.media-amazon.com/images/M/MV5BZDU1NzA5YzUtNTdmNy00NTVjLWFhNzEtYWI1NmNkNTA1ZDBhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",1839578,https://www.imdb.com/title/tt1839578/,43 min,16,"181,383",8.5
Moneyball,(2011),"Biography,Drama,Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1210166,https://www.imdb.com/title/tt1210166/,133 min,13,"439,726",7.6
Jurassic World Dominion,(2022),"Action,Adventure,Sci-Fi","Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.","https://m.media-amazon.com/images/M/MV5BOTBjMjA4NmYtN2RjMi00YWZlLTliYTktOTIwMmNkYjYxYmE1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",8041270,https://www.imdb.com/title/tt8041270/,147 min,UA,"183,935",5.6
Six Feet Under,(2001–2005),"Comedy,Drama",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"https://m.media-amazon.com/images/M/MV5BN2FmMjg0Y2YtYmMyYi00MTBjLTllYzMtN2VjYzRhOTVmNWRlXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX280_CR0,3,280,414_.jpg",0248654,https://www.imdb.com/title/tt0248654/,60 min,15+,"138,990",8.7
Killing Eve,(2018–2022),"Action,Adventure,Drama","After a series of events, the lives of a security operative and an assassin become inextricably linked.","https://m.media-amazon.com/images/M/MV5BZDJmODFjMzEtNTE4MS00OGViLTk4OGYtZjg3OGFhM2VlOTliXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7016936,https://www.imdb.com/title/tt7016936/,42 min,15+,"124,477",8.1
Arcane: League of Legends,(2021– ),"Animation,Action,Adventure","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.","https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",11126994,https://www.imdb.com/title/tt11126994/,41 min,16,"228,957",9.0
Your Honor,(II) (2020–2023),"Crime,Drama,Thriller",A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family.,"https://m.media-amazon.com/images/M/MV5BNTIxMmJlNzAtZTQ3NC00MjIyLTk4YTUtNmNlNzNjMzYzZWFiXkEyXkFqcGdeQXVyMTUyMTU1MDg1._V1_QL75_UX280_CR0,3,280,414_.jpg",7440726,https://www.imdb.com/title/tt7440726/,57 min,18,"60,331",7.6
The Artifice Girl,(2022),"Mystery,Sci-Fi,Thriller","A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up with the program's troubled developer, they soon find that the AI is rapidly advancing beyond its original purpose.","https://m.media-amazon.com/images/M/MV5BYzE1MWRkODQtNzdjZC00ODEyLWJkNDMtYzFiZjljNDIwNzRkXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_QL75_UX280_CR0,3,280,414_.jpg",20859464,https://www.imdb.com/title/tt20859464/,93 min,NA,"4,662",6.5
Colin from Accounts,(2022– ),Comedy,"Ashley and Gordon, two single-ish, complex humans who are brought together by a car accident and an injured dog. Flawed, funny people choosing each other and being brave enough to show their true selves and navigate life together.","https://m.media-amazon.com/images/M/MV5BMGM3MWVjNDQtNzM1My00MWNlLWJiN2UtMjkzZTczMjc1MzQzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",18228732,https://www.imdb.com/title/tt18228732/,27 min,NA,"3,970",8.2
Black Adam,(2022),"Action,Adventure,Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","https://m.media-amazon.com/images/M/MV5BYzZkOGUwMzMtMTgyNS00YjFlLTg5NzYtZTE3Y2E5YTA5NWIyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",6443346,https://www.imdb.com/title/tt6443346/,125 min,UA,"246,503",6.3
Ticket to Paradise,(2022),"Comedy,Romance",A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,"https://m.media-amazon.com/images/M/MV5BMWE0MmEwMWUtZjRjOC00YzE3LWI2MjctNjc3NWQ0YTVmNDQ4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",14109724,https://www.imdb.com/title/tt14109724/,104 min,UA,"52,536",6.1
Braveheart,(1995),"Biography,Drama,History",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,3,280,414_.jpg",0112573,https://www.imdb.com/title/tt0112573/,178 min,A,"1,055,868",8.3
Mission: Impossible - Fallout,(2018),"Action,Adventure,Thriller","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","https://m.media-amazon.com/images/M/MV5BNjRlZmM0ODktY2RjNS00ZDdjLWJhZGYtNDljNWZkMGM5MTg0XkEyXkFqcGdeQXVyNjAwMjI5MDk@._V1_QL75_UX280_CR0,3,280,414_.jpg",4912910,https://www.imdb.com/title/tt4912910/,147 min,U/A,"345,018",7.7
Almost Famous,(2000),"Adventure,Comedy,Drama",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"https://m.media-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX280_CR0,3,280,414_.jpg",0181875,https://www.imdb.com/title/tt0181875/,122 min,A,"283,759",7.9
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),"Adventure,Family,Fantasy",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,"https://m.media-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",0363771,https://www.imdb.com/title/tt0363771/,143 min,U,"410,256",6.9
Pride & Prejudice,(2005),"Drama,Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","https://m.media-amazon.com/images/M/MV5BMTA1NDQ3NTcyOTNeQTJeQWpwZ15BbWU3MDA0MzA4MzE@._V1_QL75_UX280_CR0,3,280,414_.jpg",0414387,https://www.imdb.com/title/tt0414387/,129 min,U,"308,170",7.8
How to Have Sex,(2023),Drama,"Three British teenage girls go on a rites-of-passage holiday - drinking, clubbing and hooking up, in what should be the best summer of their lives.","https://m.media-amazon.com/images/M/MV5BNTBjMDliM2ItMGVmNS00YzRhLTk1ZjAtZTQxOGU0NDRlZjZiXkEyXkFqcGdeQXVyMTQwNDk0MzYy._V1_QL75_UX280_CR0,3,280,414_.jpg",22890246,https://www.imdb.com/title/tt22890246/,98 min,NA,72,7.0
Victim/Suspect,(2023),"Documentary,Crime","Young women tell the police they've been sexually assaulted, but instead of finding justice, they're charged with the crime of making a false report, arrested, and even imprisoned by the system they believed would protect them.","https://m.media-amazon.com/images/M/MV5BNGFjMGVlNmYtOTU4Yy00MzlhLWEyN2UtZWViMmM5M2M1MDNlXkEyXkFqcGdeQXVyMTUzOTczNzYx._V1_QL75_UX280_CR0,3,280,414_.jpg",24079788,https://www.imdb.com/title/tt24079788/,90 min,A,729,6.9
Big Little Lies,(2017–2019),"Crime,Drama,Mystery",The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"https://m.media-amazon.com/images/M/MV5BZmNjYzdjN2ItOTBlNy00Mjc0LWE4YmMtYTQ4ZjQzNTMyNDc4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",3920596,https://www.imdb.com/title/tt3920596/,60 min,15+,"210,194",8.5
Doctor Strange in the Multiverse of Madness,(2022),"Action,Adventure,Fantasy","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.","https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX280_CR0,3,280,414_.jpg",9419884,https://www.imdb.com/title/tt9419884/,126 min,UA,"439,114",6.9
Schmigadoon!,(2021– ),"Comedy,Fantasy,Musical",A couple on a backpacking trip discovers a magical town in which everyone acts like they're in a classic musical.,"https://m.media-amazon.com/images/M/MV5BN2Q4MzMwYjUtNGM3NC00NGU3LTgxY2YtMjJiNDFiOGU4MmNjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",11808942,https://www.imdb.com/title/tt11808942/,30 min,A,"12,745",7.4
Oshi no Ko,(2023– ),"Animation,Drama,Fantasy",A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.,"https://m.media-amazon.com/images/M/MV5BYTgxZjNlZWQtYjg1OS00NzY2LTkyZTctZDBkY2Y2ZWEyMjNlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX280_CR0,3,280,414_.jpg",21030032,https://www.imdb.com/title/tt21030032/,24 min,UA 16+,"3,100",8.8
The Woman King,(2022),"Action,Drama,History","A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.","https://m.media-amazon.com/images/M/MV5BY2I4MDIwYWUtOWMxNC00ZTIzLWE3OGYtOWUyMmIwZGE2NjU4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",8093700,https://www.imdb.com/title/tt8093700/,135 min,UA,"61,365",6.8
Bluey,(2018– ),"Animation,Family",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7678620,https://www.imdb.com/title/tt7678620/,7 min,U,"15,726",9.5
Mortal Kombat,(2021),"Action,Adventure,Fantasy",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,"https://m.media-amazon.com/images/M/MV5BY2ZlNWIxODMtN2YwZi00ZjNmLWIyN2UtZTFkYmZkNDQyNTAyXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_QL75_UX280_CR0,3,280,414_.jpg",0293429,https://www.imdb.com/title/tt0293429/,110 min,A,"180,997",6.0
The Pale Blue Eye,(2022),"Crime,Horror,Mystery","A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.","https://m.media-amazon.com/images/M/MV5BZDg2YThlMTItYzhhMy00OWE3LTljYTAtYTExMDM5NzRjOGFhXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX280_CR0,3,280,414_.jpg",14138650,https://www.imdb.com/title/tt14138650/,128 min,UA 16+,"106,521",6.6
Eyes Wide Shut,(1999),"Drama,Mystery,Thriller","A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","https://m.media-amazon.com/images/M/MV5BYzMzZjcyNzEtZjE2OC00Yjk3LWExOGItODdhNzhkZTdmM2M0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",0120663,https://www.imdb.com/title/tt0120663/,159 min,18,"354,518",7.5
Nobody,(I) (2021),"Action,Crime,Drama","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","https://m.media-amazon.com/images/M/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX280_CR0,3,280,414_.jpg",7888964,https://www.imdb.com/title/tt7888964/,92 min,A,"286,343",7.4
Entourage,(2004–2011),"Comedy,Drama",Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,"https://m.media-amazon.com/images/M/MV5BZDg3ZDc2MDQtNzQwZi00YzFjLTgyOTMtMDMzZTc5N2VlNTg2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",0387199,https://www.imdb.com/title/tt0387199/,28 min,15+,"172,705",8.5
Carrot Cake Murder: A Hannah Swensen Mysteries,(2023 TV Movie),Mystery,"A skeleton found in Lake Eden reveals the true identity of a beloved resident. Despite her fiancé's disapproval, Hannah investigates the murder and enlists her mother's help to uncover the truth and bring the killer to justice.","https://m.media-amazon.com/images/M/MV5BYzgyY2Q3YTgtZmQ2Mi00MDA4LTljMjItOWRiMjhjZDkxNGI0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_QL75_UX280_CR0,3,280,414_.jpg",26928076,https://www.imdb.com/title/tt26928076/,-,NA,214,6.4
